DateTime,Name,Country,Volatility,Actual,Previous,Consensus
01/08/2010 09:30:00,Producer Price Index - Output (MoM) n.s.a,United Kingdom,2,0.500,0.200,0.200
01/08/2010 09:30:00,Producer Price Index - Input (YoY) n.s.a,United Kingdom,2,7.400,4.000,6.100
01/08/2010 09:30:00,Producer Price Index - Input (MoM) n.s.a,United Kingdom,2,0.600,0.100,-1.000
01/08/2010 10:00:00,Gross Domestic Product s.a. (YoY),European Monetary Union,2,-4.000,-4.100,-4.100
01/08/2010 10:00:00,Gross Domestic Product s.a. (QoQ),European Monetary Union,2,0.400,0.400,0.400
01/08/2010 10:00:00,Unemployment Rate,European Monetary Union,2,9.900,9.900,9.900
01/08/2010 11:00:00,Industrial Production n.s.a. w.d.a. (YoY),Germany,2,-7.500,-11.900,-8.000
01/08/2010 11:00:00,Industrial Production s.a. (MoM),Germany,2,0.400,-1.230,1.000
01/08/2010 12:00:00,Net Change in Employment,Canada,2,-33.100,76.000,20.000
01/08/2010 12:00:00,Unemployment Rate,Canada,2,8.500,8.500,8.400
01/08/2010 13:30:00,Nonfarm Payrolls,United States,3,-150.000,4.000,-2.000
01/08/2010 13:30:00,Average Hourly Earnings (MoM),United States,2,0.200,0.200,0.200
01/08/2010 13:30:00,Unemployment Rate,United States,3,10.000,10.000,10.000
01/08/2010 13:30:00,Average Hourly Earnings (YoY),United States,2,2.400,2.300,2.100
01/08/2010 13:30:00,Average Weekly Hours,United States,1,33.200,33.200,33.200
01/08/2010 15:00:00,Wholesale Inventories,United States,1,1.600,0.600,-0.500
01/08/2010 20:00:00,Consumer Credit Change,United States,1,-21.800,-3.500,-5.000
01/11/2010 00:00:00,Coming-of-Age Day,Japan,0,,,
01/11/2010 00:00:00,Consumer Inflation Expectation,Australia,0,3.500,3.600,
01/11/2010 00:30:00,ANZ Job Advertisements,Australia,1,6.700,4.000,
01/11/2010 06:00:00,Current Account n.s.a.,Germany,1,17.800,,12.000
01/11/2010 08:15:00,Real Retail Sales (YoY),Switzerland,2,-0.100,3.200,1.900
01/11/2010 10:15:00,ECB Trichet's Speech,European Monetary Union,2,,,
01/11/2010 13:15:00,Housing Starts s.a (YoY),Canada,2,176.100,165.000,161.000
01/11/2010 13:30:00,Building Permits (MoM),Canada,1,-1.700,16.800,-2.600
01/11/2010 15:30:00,Bank of Canada Business Outlook Survey,Canada,1,,,
01/11/2010 17:45:00,Fed's Lockhart speech,United States,1,,,
01/11/2010 21:00:00,NZIER Business Confidence (QoQ),New Zealand,1,31.000,36.000,
01/11/2010 23:50:00,Money Supply M2+CD (YoY),Japan,1,3.100,3.300,3.300
01/11/2010 23:50:00,Current Account n.s.a.,Japan,1,1304.800,1338.000,1220.000
01/11/2010 23:50:00,Trade Balance - BOP Basis,Japan,2,490.600,949.000,479.000
01/12/2010 00:01:00,RICS Housing Price Balance,United Kingdom,2,30.000,35.000,38.000
01/12/2010 00:01:00,BRC Like-For-Like Retail Sales (YoY),United Kingdom,2,4.200,1.800,
01/12/2010 00:30:00,Home Loans,Australia,2,8.300,-3.100,-0.400
01/12/2010 00:30:00,Investment Lending for Homes,Australia,1,2.100,-0.600,
01/12/2010 05:00:00,Eco Watchers Survey: Current,Japan,1,35.400,33.900,34.200
01/12/2010 05:00:00,Eco Watchers Survey: Outlook,Japan,1,36.300,34.500,
01/12/2010 09:30:00,DCLG House Price Index (YoY),United Kingdom,2,0.500,-2.200,0.300
01/12/2010 09:30:00,Trade Balance; non-EU,United Kingdom,2,-2.900,-3.100,-3.000
01/12/2010 09:30:00,Goods Trade Balance,United Kingdom,2,-6.800,-7.000,-6.900
01/12/2010 13:30:00,Trade Balance,United States,3,-36.400,-33.200,-34.900
01/12/2010 13:30:00,DO NOT INCLUDE - New Housing Price Index (YoY),Canada,1,-1.400,-2.100,
01/12/2010 13:30:00,International Merchandise Trade,Canada,2,-0.153,0.419,0.800
01/12/2010 13:30:00,New Housing Price Index (MoM),Canada,2,0.400,0.300,0.300
01/13/2010 01:30:00,National Australia Bank's Business Conditions,Australia,0,10.000,10.000,
01/13/2010 02:22:47,ANZ Commodity Price,New Zealand,1,2.600,10.500,
01/13/2010 06:00:00,Machine Tool Orders (YoY),Japan,1,62.800,-21.000,
01/13/2010 08:15:00,Real GDP Growth,Germany,1,-4.700,1.300,-4.800
01/13/2010 09:30:00,Industrial Production (YoY),United Kingdom,2,-5.700,-8.400,-6.100
01/13/2010 09:30:00,Manufacturing Production (YoY),United Kingdom,2,-4.900,-7.800,-5.100
